period,demand_MW,solar_MW,wind_MW,net_load_MW
2023-04-20 06:00:00,42976,0,24206,18770
2023-04-20 07:00:00,41288,0,23317,17971
2023-04-20 08:00:00,40056,0,22308,17748
2023-04-20 09:00:00,39608,0,21572,18036
2023-04-20 10:00:00,39815,0,20684,19131
2023-04-20 11:00:00,41214,0,19492,21722
2023-04-20 12:00:00,43928,0,18182,25746
2023-04-20 13:00:00,44770,466,16836,27468
2023-04-20 14:00:00,45815,3857,16590,25368
2023-04-20 15:00:00,47400,4671,18095,24634
2023-04-20 16:00:00,49067,5904,18283,24880
2023-04-20 17:00:00,50325,8366,16399,25560
2023-04-20 18:00:00,51357,9432,14045,27880
2023-04-20 19:00:00,52196,9625,11477,31094
2023-04-20 20:00:00,52590,9012,9383,34195
2023-04-20 21:00:00,53118,8353,8570,36195
2023-04-20 22:00:00,53331,8365,7985,36981
2023-04-20 23:00:00,52920,7709,8223,36988
2023-04-21 00:00:00,51855,5403,9220,37232
2023-04-21 01:00:00,50150,1951,9039,39160
2023-04-21 02:00:00,49213,51,9037,40125
2023-04-21 03:00:00,48394,0,11137,37257
2023-04-21 04:00:00,46259,0,14138,32121
2023-04-21 05:00:00,43276,0,15157,28119
2023-04-21 06:00:00,40384,0,14490,25894
2023-04-21 07:00:00,38337,0,13378,24959
2023-04-21 08:00:00,36727,0,11027,25700
2023-04-21 09:00:00,35984,0,8952,27032
2023-04-21 10:00:00,36091,0,8395,27696
2023-04-21 11:00:00,37250,0,10985,26265
2023-04-21 12:00:00,40151,0,12783,27368
2023-04-21 13:00:00,41459,747,11525,29187
2023-04-21 14:00:00,42200,6332,9385,26483
2023-04-21 15:00:00,43528,9546,8267,25715
2023-04-21 16:00:00,44656,10463,8160,26033
2023-04-21 17:00:00,45337,11284,6970,27083
2023-04-21 18:00:00,45999,11538,4826,29635
2023-04-21 19:00:00,47024,11754,4525,30745
2023-04-21 20:00:00,48452,11988,4724,31740
2023-04-21 21:00:00,49774,11884,5856,32034
2023-04-21 22:00:00,50723,11757,6170,32796
2023-04-21 23:00:00,50845,11192,4976,34677
2023-04-22 00:00:00,49734,8717,3820,37197
2023-04-22 01:00:00,47399,2976,2951,41472
2023-04-22 02:00:00,46176,46,3390,42740
2023-04-22 03:00:00,45262,0,6091,39171
2023-04-22 04:00:00,42924,0,10675,32249
2023-04-22 05:00:00,40886,0,15602,25284
2023-04-22 06:00:00,39094,0,17990,21104
2023-04-22 07:00:00,37674,0,18893,18781
2023-04-22 08:00:00,36389,0,19115,17274
2023-04-22 09:00:00,35612,0,19158,16454
2023-04-22 10:00:00,35255,0,19052,16203
2023-04-22 11:00:00,35450,0,18442,17008
2023-04-22 12:00:00,36178,2,17351,18825
2023-04-22 13:00:00,37072,1334,16639,19099
2023-04-22 14:00:00,38740,6518,15494,16728
2023-04-22 15:00:00,40141,8929,15559,15653
2023-04-22 16:00:00,41221,9545,15882,15794
2023-04-22 17:00:00,42463,10028,15936,16499
2023-04-22 18:00:00,43641,10526,15709,17406
2023-04-22 19:00:00,44636,9951,16133,18552
2023-04-22 20:00:00,45542,8848,17314,19380
2023-04-22 21:00:00,46535,7518,18936,20081
2023-04-22 22:00:00,46932,6371,20681,19880
2023-04-22 23:00:00,46616,5568,21348,19700
2023-04-23 00:00:00,45567,3317,22302,19948
2023-04-23 01:00:00,44321,734,23557,20030
2023-04-23 02:00:00,44303,10,24343,19950
2023-04-23 03:00:00,43218,1,24093,19124
2023-04-23 04:00:00,41317,1,23074,18242
2023-04-23 05:00:00,39492,1,21905,17586
2023-04-23 06:00:00,37787,1,21174,16612
2023-04-23 07:00:00,36385,1,20210,16174
2023-04-23 08:00:00,35279,1,18091,17187
2023-04-23 09:00:00,34777,1,17261,17515
2023-04-23 10:00:00,34562,1,16564,17997
2023-04-23 11:00:00,34603,1,15775,18827
2023-04-23 12:00:00,35126,3,15323,19800
2023-04-23 13:00:00,36102,59,15307,20736
2023-04-23 14:00:00,37718,311,14419,22988
2023-04-23 15:00:00,39585,721,14340,24524
2023-04-23 16:00:00,40396,1468,14222,24706
2023-04-23 17:00:00,40932,2052,13674,25206
2023-04-23 18:00:00,41561,2601,12309,26651
2023-04-23 19:00:00,41044,3272,11519,26253
2023-04-23 20:00:00,40243,3996,11070,25177
2023-04-23 21:00:00,39886,4205,10054,25627
2023-04-23 22:00:00,39877,3790,8970,27117
2023-04-23 23:00:00,40072,3061,8109,28902
2023-04-24 00:00:00,40181,1892,7034,31255
2023-04-24 01:00:00,40529,568,6097,33864
2023-04-24 02:00:00,41656,9,5356,36291
2023-04-24 03:00:00,41102,0,5395,35707
2023-04-24 04:00:00,39106,0,5582,33524
2023-04-24 05:00:00,36929,0,5199,31730
2023-04-24 06:00:00,35210,0,4949,30261
2023-04-24 07:00:00,34173,0,4629,29544
2023-04-24 08:00:00,33768,0,4109,29659
2023-04-24 09:00:00,33787,0,3892,29895
2023-04-24 10:00:00,34507,0,4110,30397
2023-04-24 11:00:00,36410,0,4722,31688
2023-04-24 12:00:00,39644,2,4916,34726
2023-04-24 13:00:00,41201,435,5287,35479
2023-04-24 14:00:00,41715,1753,5424,34538
2023-04-24 15:00:00,41832,2784,5756,33292
2023-04-24 16:00:00,41734,4516,5992,31226
