period,respondent,respondent-name,type,type-name,value,value-units
2023-01-02T20,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20479,megawatthours
2023-01-02T20,CISO,California Independent System Operator,NG,Net generation,19697,megawatthours
2023-01-02T20,CISO,California Independent System Operator,TI,Total interchange,-4275,megawatthours
2023-01-02T21,CISO,California Independent System Operator,D,Demand,24281,megawatthours
2023-01-02T21,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20656,megawatthours
2023-01-02T21,CISO,California Independent System Operator,NG,Net generation,19102,megawatthours
2023-01-02T21,CISO,California Independent System Operator,TI,Total interchange,-5114,megawatthours
2023-01-02T22,CISO,California Independent System Operator,D,Demand,24429,megawatthours
2023-01-02T22,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20677,megawatthours
2023-01-02T22,CISO,California Independent System Operator,NG,Net generation,18662,megawatthours
2023-01-02T22,CISO,California Independent System Operator,TI,Total interchange,-6161,megawatthours
2023-01-02T23,CISO,California Independent System Operator,D,Demand,25190,megawatthours
2023-01-02T23,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21149,megawatthours
2023-01-02T23,CISO,California Independent System Operator,NG,Net generation,19375,megawatthours
2023-01-02T23,CISO,California Independent System Operator,TI,Total interchange,-5962,megawatthours
2023-01-03T00,CISO,California Independent System Operator,D,Demand,25918,megawatthours
2023-01-03T00,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22030,megawatthours
2023-01-03T00,CISO,California Independent System Operator,NG,Net generation,20194,megawatthours
2023-01-03T00,CISO,California Independent System Operator,TI,Total interchange,-5110,megawatthours
2023-01-03T01,CISO,California Independent System Operator,D,Demand,26121,megawatthours
2023-01-03T01,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23453,megawatthours
2023-01-03T01,CISO,California Independent System Operator,NG,Net generation,20973,megawatthours
2023-01-03T01,CISO,California Independent System Operator,TI,Total interchange,-5515,megawatthours
2023-01-03T02,CISO,California Independent System Operator,D,Demand,27310,megawatthours
2023-01-03T02,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25089,megawatthours
2023-01-03T02,CISO,California Independent System Operator,NG,Net generation,22278,megawatthours
2023-01-03T02,CISO,California Independent System Operator,TI,Total interchange,-5497,megawatthours
2023-01-03T03,CISO,California Independent System Operator,D,Demand,28567,megawatthours
2023-01-03T03,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25375,megawatthours
2023-01-03T03,CISO,California Independent System Operator,NG,Net generation,21704,megawatthours
2023-01-03T03,CISO,California Independent System Operator,TI,Total interchange,-5975,megawatthours
2023-01-03T04,CISO,California Independent System Operator,D,Demand,28396,megawatthours
2023-01-03T04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24891,megawatthours
2023-01-03T04,CISO,California Independent System Operator,NG,Net generation,21037,megawatthours
2023-01-03T04,CISO,California Independent System Operator,TI,Total interchange,-6063,megawatthours
2023-01-03T05,CISO,California Independent System Operator,D,Demand,27724,megawatthours
2023-01-03T05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24220,megawatthours
2023-01-03T05,CISO,California Independent System Operator,NG,Net generation,20347,megawatthours
2023-01-03T05,CISO,California Independent System Operator,TI,Total interchange,-5922,megawatthours
2023-01-03T06,CISO,California Independent System Operator,D,Demand,26872,megawatthours
2023-01-03T06,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23618,megawatthours
2023-01-03T06,CISO,California Independent System Operator,NG,Net generation,19656,megawatthours
2023-01-03T06,CISO,California Independent System Operator,TI,Total interchange,-5728,megawatthours
2023-01-03T07,CISO,California Independent System Operator,D,Demand,26019,megawatthours
2023-01-03T07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22540,megawatthours
2023-01-03T07,CISO,California Independent System Operator,NG,Net generation,18180,megawatthours
2023-01-03T07,CISO,California Independent System Operator,TI,Total interchange,-5693,megawatthours
2023-01-03T08,CISO,California Independent System Operator,D,Demand,24535,megawatthours
2023-01-03T08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21232,megawatthours
2023-01-03T08,CISO,California Independent System Operator,NG,Net generation,17436,megawatthours
2023-01-03T08,CISO,California Independent System Operator,TI,Total interchange,-5127,megawatthours
2023-01-03T09,CISO,California Independent System Operator,D,Demand,23243,megawatthours
2023-01-03T09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20507,megawatthours
2023-01-03T09,CISO,California Independent System Operator,NG,Net generation,17183,megawatthours
2023-01-03T09,CISO,California Independent System Operator,TI,Total interchange,-4455,megawatthours
2023-01-03T10,CISO,California Independent System Operator,D,Demand,22414,megawatthours
2023-01-03T10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19899,megawatthours
2023-01-03T10,CISO,California Independent System Operator,NG,Net generation,16864,megawatthours
2023-01-03T10,CISO,California Independent System Operator,TI,Total interchange,-4342,megawatthours
2023-01-03T11,CISO,California Independent System Operator,D,Demand,21928,megawatthours
2023-01-03T11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19521,megawatthours
2023-01-03T11,CISO,California Independent System Operator,NG,Net generation,16816,megawatthours
2023-01-03T11,CISO,California Independent System Operator,TI,Total interchange,-4314,megawatthours
2023-01-03T12,CISO,California Independent System Operator,D,Demand,21828,megawatthours
2023-01-03T12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19471,megawatthours
2023-01-03T12,CISO,California Independent System Operator,NG,Net generation,16810,megawatthours
2023-01-03T12,CISO,California Independent System Operator,TI,Total interchange,-4119,megawatthours
2023-01-03T13,CISO,California Independent System Operator,D,Demand,21641,megawatthours
2023-01-03T13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19972,megawatthours
2023-01-03T13,CISO,California Independent System Operator,NG,Net generation,16859,megawatthours
2023-01-03T13,CISO,California Independent System Operator,TI,Total interchange,-4038,megawatthours
2023-01-03T14,CISO,California Independent System Operator,D,Demand,21683,megawatthours
2023-01-03T14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21179,megawatthours
2023-01-03T14,CISO,California Independent System Operator,NG,Net generation,17617,megawatthours
2023-01-03T14,CISO,California Independent System Operator,TI,Total interchange,-4593,megawatthours
2023-01-03T15,CISO,California Independent System Operator,D,Demand,22990,megawatthours
2023-01-03T15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23033,megawatthours
2023-01-03T15,CISO,California Independent System Operator,NG,Net generation,19012,megawatthours
2023-01-03T15,CISO,California Independent System Operator,TI,Total interchange,-5155,megawatthours
2023-01-03T16,CISO,California Independent System Operator,D,Demand,24875,megawatthours
2023-01-03T16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24426,megawatthours
2023-01-03T16,CISO,California Independent System Operator,NG,Net generation,20585,megawatthours
2023-01-03T16,CISO,California Independent System Operator,TI,Total interchange,-5062,megawatthours
2023-01-03T17,CISO,California Independent System Operator,D,Demand,26168,megawatthours
2023-01-03T17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24385,megawatthours
2023-01-03T17,CISO,California Independent System Operator,NG,Net generation,23179,megawatthours
2023-01-03T17,CISO,California Independent System Operator,TI,Total interchange,-3722,megawatthours
2023-01-03T18,CISO,California Independent System Operator,D,Demand,26992,megawatthours
2023-01-03T18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23736,megawatthours
2023-01-03T18,CISO,California Independent System Operator,NG,Net generation,23952,megawatthours
2023-01-03T18,CISO,California Independent System Operator,TI,Total interchange,-2844,megawatthours
2023-01-03T19,CISO,California Independent System Operator,D,Demand,26883,megawatthours
2023-01-03T19,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22932,megawatthours
2023-01-03T19,CISO,California Independent System Operator,NG,Net generation,23862,megawatthours
2023-01-03T19,CISO,California Independent System Operator,TI,Total interchange,-2786,megawatthours
2023-01-03T20,CISO,California Independent System Operator,D,Demand,26827,megawatthours
2023-01-03T20,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22444,megawatthours
2023-01-03T20,CISO,California Independent System Operator,NG,Net generation,22832,megawatthours
2023-01-03T20,CISO,California Independent System Operator,TI,Total interchange,-3181,megawatthours
2023-01-03T21,CISO,California Independent System Operator,D,Demand,26337,megawatthours
2023-01-03T21,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22308,megawatthours
2023-01-03T21,CISO,California Independent System Operator,NG,Net generation,23204,megawatthours
2023-01-03T21,CISO,California Independent System Operator,TI,Total interchange,-2839,megawatthours
2023-01-03T22,CISO,California Independent System Operator,D,Demand,26407,megawatthours
2023-01-03T22,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22310,megawatthours
2023-01-03T22,CISO,California Independent System Operator,NG,Net generation,22316,megawatthours
2023-01-03T22,CISO,California Independent System Operator,TI,Total interchange,-3659,megawatthours
2023-01-03T23,CISO,California Independent System Operator,D,Demand,26301,megawatthours
2023-01-03T23,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22469,megawatthours
2023-01-03T23,CISO,California Independent System Operator,NG,Net generation,21364,megawatthours
2023-01-03T23,CISO,California Independent System Operator,TI,Total interchange,-4338,megawatthours
2023-01-04T00,CISO,California Independent System Operator,D,Demand,26099,megawatthours
2023-01-04T00,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23027,megawatthours
2023-01-04T00,CISO,California Independent System Operator,NG,Net generation,20074,megawatthours
2023-01-04T00,CISO,California Independent System Operator,TI,Total interchange,-5821,megawatthours
2023-01-04T01,CISO,California Independent System Operator,D,Demand,26638,megawatthours
2023-01-04T01,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24381,megawatthours
2023-01-04T01,CISO,California Independent System Operator,NG,Net generation,20444,megawatthours
2023-01-04T01,CISO,California Independent System Operator,TI,Total interchange,-6321,megawatthours
2023-01-04T02,CISO,California Independent System Operator,D,Demand,27617,megawatthours
2023-01-04T02,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26244,megawatthours
2023-01-04T02,CISO,California Independent System Operator,NG,Net generation,21902,megawatthours
2023-01-04T02,CISO,California Independent System Operator,TI,Total interchange,-6365,megawatthours
2023-01-04T03,CISO,California Independent System Operator,D,Demand,29102,megawatthours
2023-01-04T03,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26467,megawatthours
2023-01-04T03,CISO,California Independent System Operator,NG,Net generation,21614,megawatthours
