period,day_ahead_forecast_MW,total_demand_MW,net_generation_MW,total_interchange_MW,gen_col_MW,gen_ng_MW,gen_nuc_MW,gen_oil_MW,gen_oth_MW,gen_sun_MW,gen_wat_MW,gen_wnd_MW,net_load_MW,renewable_ratio,price_USD_MWh,hour,day_of_week,month,day_of_year,is_weekend,week_of_year,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos,netload_lag24h,demand_lag24h,netload_lag48h,demand_lag48h,netload_lag72h,demand_lag72h,netload_lag168h,demand_lag168h,solar_lag24h,solar_lag168h,wind_lag24h,wind_lag168h,yesterday_demand_mean,yesterday_demand_max,yesterday_demand_min,yesterday_demand_std,yesterday_netload_mean,yesterday_solar_mean,demand_trend_24h,netload_trend_24h,forecast_error_lag24h,price_lag24h
2023-01-10 09:00:00,21357.0,22770.0,16812.0,-4795.0,3.0,10328.0,2254.0,76.0,-414.0,-43.0,2067.0,2540.0,20273.0,0.10966183574879228,175.04861605935156,9,1,1,10,0,2,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,19202.0,21183.0,21155.0,22588.0,22341.0,23140.0,20940.0,23243.0,-45.0,-18.0,2026.0,2321.0,21872.791666666668,25784.0,19891.0,1905.5797926129026,18610.791666666668,2080.5,-1405.0,-1953.0,-932.0,128.70094438576325
2023-01-10 10:00:00,20539.0,22130.0,15689.0,-5201.0,3.0,9522.0,2255.0,78.0,-657.0,-43.0,2010.0,2521.0,19652.0,0.11197469498418436,162.7785286227212,10,1,1,10,0,2,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,18823.0,20897.0,20280.0,21750.0,21390.0,22150.0,20155.0,22414.0,-44.0,-17.0,2118.0,2276.0,21837.25,25784.0,19891.0,1915.896481046692,18550.083333333332,2080.7083333333335,-853.0,-1457.0,-1333.0,120.88522273340627
2023-01-10 11:00:00,20066.0,21528.0,15542.0,-4994.0,3.0,9293.0,2254.0,77.0,-1020.0,-43.0,1971.0,3007.0,18564.0,0.13768115942028986,143.24081113200137,11,1,1,10,0,2,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,18990.0,20758.0,19513.0,20841.0,21094.0,21850.0,19589.0,21928.0,-44.0,-17.0,1812.0,2356.0,21833.791666666668,25784.0,19891.0,1917.8468900933465,18528.291666666668,2080.9166666666665,-83.0,-523.0,-1516.0,124.93172619181613
2023-01-10 12:00:00,19955.0,21162.0,15979.0,-4282.0,3.0,8748.0,2254.0,79.0,-589.0,-43.0,1951.0,3576.0,17629.0,0.1669501937435025,130.48219104925147,12,1,1,10,0,2,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,18946.0,20933.0,19196.0,20439.0,20585.0,21215.0,19644.0,21828.0,-44.0,-18.0,2031.0,2202.0,21854.375,25784.0,19891.0,1904.8331848108542,18517.875,2081.125,494.0,-250.0,-1889.0,116.5480481869266
2023-01-10 13:00:00,20453.0,20912.0,16304.0,-4289.0,3.0,9000.0,2254.0,76.0,-516.0,-43.0,1958.0,3573.0,17382.0,0.16880260137719968,131.00919703632394,13,1,1,10,0,2,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,18721.0,20974.0,18972.0,19978.0,20101.0,20855.0,19601.0,21641.0,-45.0,-19.0,2298.0,2059.0,21895.875,25784.0,19891.0,1872.7554754031057,18507.416666666668,2081.3333333333335,996.0,-251.0,-1313.0,112.29748247547187
2023-01-10 14:00:00,21637.0,21231.0,17800.0,-3894.0,4.0,9944.0,2254.0,79.0,25.0,-29.0,2027.0,3495.0,17765.0,0.16325184871178935,132.45095766933565,14,1,1,10,0,2,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,18887.0,21132.0,18718.0,19891.0,20167.0,20963.0,19582.0,21683.0,-45.0,-18.0,2290.0,2119.0,21947.583333333332,25784.0,20128.0,1831.67435677729,18514.458333333332,2081.5416666666665,1241.0,169.0,67.0,120.7655584344716
2023-01-10 15:00:00,23761.0,22155.0,19643.0,-3830.0,4.0,11006.0,2254.0,78.0,596.0,-20.0,2486.0,3240.0,18935.0,0.14533965244865718,152.61737306355036,15,1,1,10,0,2,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,19538.0,21885.0,19264.0,20303.0,20742.0,21615.0,21087.0,22990.0,-26.0,-6.0,2373.0,1909.0,22013.5,25784.0,20128.0,1798.0749851366177,18525.875,2081.9583333333335,1582.0,274.0,1797.0,136.8779627114623
2023-01-10 16:00:00,25317.0,23913.0,20919.0,-4341.0,3.0,11301.0,2254.0,78.0,399.0,843.0,2718.0,3323.0,19747.0,0.1742148622088404,164.12921115726604,16,1,1,10,0,2,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,21351.0,23885.0,18738.0,20886.0,20081.0,22414.0,21525.0,24875.0,465.0,1676.0,2069.0,1674.0,22138.458333333332,25784.0,20128.0,1820.3821858435008,18634.75,2053.8333333333335,2999.0,2613.0,1553.0,181.76436540692262
2023-01-10 17:00:00,25948.0,25578.0,22945.0,-3349.0,3.0,10841.0,2255.0,79.0,-290.0,3554.0,2813.0,3690.0,18334.0,0.2832121354288842,141.11329045889232,17,1,1,10,0,2,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,22563.0,25814.0,17028.0,21408.0,17212.0,22735.0,18179.0,26168.0,1238.0,6556.0,2013.0,1433.0,22322.041666666668,25814.0,20128.0,1960.3057543052926,18865.375,1963.7083333333333,4406.0,5535.0,171.0,221.78168179349643
2023-01-10 18:00:00,26335.0,26361.0,23651.0,-2997.0,3.0,10120.0,2254.0,78.0,-827.0,5652.0,2705.0,3665.0,17044.0,0.35343879215507756,130.39696457984866,18,1,1,10,0,2,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,22306.0,26183.0,14805.0,21443.0,17080.0,23365.0,17168.0,26992.0,1931.0,8408.0,1946.0,1416.0,22519.541666666668,26183.0,20128.0,2101.5781229552645,19177.916666666668,1798.3333333333333,4740.0,7501.0,-192.0,205.57386834354853
